"id","foodName","path","publicUrl"
"s3e2-mianxianhu","面线糊","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e2-mianxianhu.png","/food-images/s3e2-mianxianhu.png"
"s3e3-lotus-feast","全藕宴","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e3-lotus-feast.png","/food-images/s3e3-lotus-feast.png"
"s3e3-shuibaixian","水八仙","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e3-shuibaixian.png","/food-images/s3e3-shuibaixian.png"
"s3e3-duck","八宝葫芦鸭","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e3-duck.png","/food-images/s3e3-duck.png"
"s3e3-shacha-beef","沙茶焖牛肉","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e3-shacha-beef.png","/food-images/s3e3-shacha-beef.png"
"s3e3-fengrou","封肉","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e3-fengrou.png","/food-images/s3e3-fengrou.png"
"s3e3-pingjiang","平江十大碗","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e3-pingjiang.png","/food-images/s3e3-pingjiang.png"
"s3e4-wuzhigao","五汁膏","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e4-wuzhigao.png","/food-images/s3e4-wuzhigao.png"
"s3e4-shanyao","枣泥山药糕","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e4-shanyao.png","/food-images/s3e4-shanyao.png"
"s3e4-laohuo-soup","老火汤","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e4-laohuo-soup.png","/food-images/s3e4-laohuo-soup.png"
"s3e5-crab-tofu","蟹粉豆腐","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e5-crab-tofu.png","/food-images/s3e5-crab-tofu.png"
